sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
160,11.920461870154046,3.653078024822561,10.925752027574312,0.8865059944789377,1.0,True,1.0,1.0,7.7605490516775095
161,171.28632545805687,12.774148379581575,55.38065148256844,0.28990652565275465,1.0,True,1.0,1.0,530.0911420126852
162,10.161238754589558,15.48217266261142,17.661769499218444,1.4081657841172321,1.0,True,1.0,1.0,60.48349459132104
163,4.316084643805566,0.6007582819035042,7.057690589689888,0.5080201517204483,1.0,True,1.0,1.0,5.891402496400041
164,125.54841168372427,39.0954652135484,35.516885816531584,0.8943307465238944,1.0,True,1.0,1.0,83.90393015133125
165,55.79732769574338,25.146704758872218,25.40072561243413,1.0643380033463246,1.0,True,1.0,1.0,75.09037987340797
166,239.0201951371111,91.79937005949871,50.63843587228273,0.9937669563710871,1.0,True,1.0,1.0,243.11255322168915
167,83.2397716564476,121.0757494455426,49.453830963536596,1.4005840126028584,1.0,True,1.0,1.0,471.8443716573689
168,28.52466265168959,2.1632316543402377,22.442639105249345,0.2945263915948914,1.0,True,1.0,1.0,86.59984689541449
169,335.8766900930908,85.9509770206234,57.40946672883597,0.7970607863940129,1.0,True,1.0,1.0,168.67867202620036
170,43.35152187274606,8.263055519663162,21.000481097706523,0.6514048953769691,1.0,True,1.0,1.0,32.396775212873564
171,112.93337801058661,26.266820230061295,33.3281421077443,0.749330905757316,1.0,True,1.0,1.0,58.877184597957886
172,18.029882046208325,1.1688508949065868,19.078079981218153,0.25372553125837566,1.0,True,1.0,1.0,65.50450817454826
173,169.7019845924363,11.947298726684137,56.48239635269298,0.27449785871628046,1.0,True,1.0,1.0,561.3144077795573
174,16.388488695523815,2.109798636559766,14.053429967010999,0.47553317005276996,1.0,True,1.0,1.0,24.88702827773001
175,4.863130290845045,0.6843977649954381,7.470084066578094,0.5127143491286127,1.0,True,1.0,1.0,6.5088677715128656
176,83.59415511155055,17.064033259209786,28.930338300167087,0.6847320592880688,1.0,True,1.0,1.0,54.15094111489422
177,344.61929681095955,118.05685498123292,59.580656023071036,0.9403660133575474,1.0,True,1.0,1.0,280.1043592546386
178,276.9199269713561,101.75543699819565,54.042249644020266,0.9733758728376672,1.0,True,1.0,1.0,258.8608323960987
179,210.77076355052938,41.08645676593866,46.173441070132206,0.6622629458803625,1.0,True,1.0,1.0,149.64716236472563
